company_name,code,market
厦门钨业,600549,shanghai
保变电气,600550,shanghai
时代出版,600551,shanghai
凯盛科技,600552,shanghai
太行水泥,600553,shanghai
海航创新,600555,shanghai
ST慧球,600556,shanghai
康缘药业,600557,shanghai
大西洋,600558,shanghai
老白干酒,600559,shanghai
金自天正,600560,shanghai
江西长运,600561,shanghai
国睿科技,600562,shanghai
法拉电子,600563,shanghai
迪马股份,600565,shanghai
济川药业,600566,shanghai
山鹰纸业,600567,shanghai
中珠医疗,600568,shanghai
XD安阳钢,600569,shanghai
恒生电子,600570,shanghai
信雅达,600571,shanghai
康恩贝,600572,shanghai
惠泉啤酒,600573,shanghai
皖江物流,600575,shanghai
祥源文化,600576,shanghai
精达股份,600577,shanghai
京能电力,600578,shanghai
天华院,600579,shanghai
卧龙电驱,600580,shanghai
八一钢铁,600581,shanghai
天地科技,600582,shanghai
海油工程,600583,shanghai
长电科技,600584,shanghai
海螺水泥,600585,shanghai
金晶科技,600586,shanghai
新华医疗,600587,shanghai
用友网络,600588,shanghai
广东榕泰,600589,shanghai
泰豪科技,600590,shanghai
*ST上航,600591,shanghai
龙溪股份,600592,shanghai
大连圣亚,600593,shanghai
益佰制药,600594,shanghai
*ST中孚,600595,shanghai
新安股份,600596,shanghai
光明乳业,600597,shanghai
北大荒,600598,shanghai
熊猫金控,600599,shanghai
青岛啤酒,600600,shanghai
方正科技,600601,shanghai
云赛智联,600602,shanghai
广汇物流,600603,shanghai
市北高新,600604,shanghai
汇通能源,600605,shanghai
绿地控股,600606,shanghai
上实医药,600607,shanghai
ST沪科,600608,shanghai
金杯汽车,600609,shanghai
*ST毅达,600610,shanghai
大众交通,600611,shanghai
老凤祥,600612,shanghai
神奇制药,600613,shanghai
*ST鹏起,600614,shanghai
ST丰华,600615,shanghai
金枫酒业,600616,shanghai
国新能源,600617,shanghai
氯碱化工,600618,shanghai
海立股份,600619,shanghai
天宸股份,600620,shanghai
华鑫股份,600621,shanghai
光大嘉宝,600622,shanghai
华谊集团,600623,shanghai
复旦复华,600624,shanghai
PT水仙,600625,shanghai
申达股份,600626,shanghai
上电股份,600627,shanghai
新世界,600628,shanghai
华建集团,600629,shanghai
龙头股份,600630,shanghai
百联股份,600631,shanghai
华联商厦,600632,shanghai
浙数文化,600633,shanghai
*ST富控,600634,shanghai
大众公用,600635,shanghai
三爱富,600636,shanghai
东方明珠,600637,shanghai
新黄浦,600638,shanghai
浦东金桥,600639,shanghai
号百控股,600640,shanghai
万业企业,600641,shanghai
申能股份,600642,shanghai
爱建集团,600643,shanghai
乐山电力,600644,shanghai
中源协和,600645,shanghai
ST国嘉,600646,shanghai
同达创业,600647,shanghai
外高桥,600648,shanghai
城投控股,600649,shanghai
锦江投资,600650,shanghai
飞乐音响,600651,shanghai
*ST游久,600652,shanghai
申华控股,600653,shanghai
*ST中安,600654,shanghai
豫园股份,600655,shanghai
退市博元,600656,shanghai
信达地产,600657,shanghai
电子城,600658,shanghai
*ST花雕,600659,shanghai
福耀玻璃,600660,shanghai
昂立教育,600661,shanghai
强生控股,600662,shanghai
陆家嘴,600663,shanghai
哈药股份,600664,shanghai
天地源,600665,shanghai
*ST瑞德,600666,shanghai
太极实业,600667,shanghai
尖峰集团,600668,shanghai
*ST鞍成,600669,shanghai
*ST斯达,600670,shanghai
天目药业,600671,shanghai
*ST华圣,600672,shanghai
东阳光,600673,shanghai
川投能源,600674,shanghai
中华企业,600675,shanghai
交运股份,600676,shanghai
航天通信,600677,shanghai
四川金顶,600678,shanghai
上海凤凰,600679,shanghai
*ST上普,600680,shanghai
百川能源,600681,shanghai
南京新百,600682,shanghai
京投发展,600683,shanghai
珠江实业,600684,shanghai
中船防务,600685,shanghai
金龙汽车,600686,shanghai
*ST刚泰,600687,shanghai
上海石化,600688,shanghai
上海三毛,600689,shanghai
海尔智家,600690,shanghai
阳煤化工,600691,shanghai
亚通股份,600692,shanghai
东百集团,600693,shanghai
大商股份,600694,shanghai
绿庭投资,600695,shanghai
ST岩石,600696,shanghai
欧亚集团,600697,shanghai
*ST天雁,600698,shanghai
均胜电子,600699,shanghai
*ST数码,600700,shanghai
